"Day ","Location ","Product ","Unit Sold ","Revenue ","COGS "
"37","Los Angeles","Mouthwash","2421","72630","30735.00"
"37","Los Angeles","Body Wash  ","1675","58625","23671.00"
"37","Los Angeles","Shampoo","1893","71934","30364.00"
"37","New York","Mouthwash","2778","166680","35268.00"
"37","New York","Body Wash  ","1882","116684","26596.00"
"37","New York","Shampoo","1622","105430","26017.00"
"36","Los Angeles","Mouthwash","547","16410","6744.00"
"36","Los Angeles","Body Wash  ","452","15820","6272.00"
"36","Los Angeles","Shampoo","706","26828","11055.00"
"36","New York","Mouthwash","1584","95040","19528.00"
"36","New York","Body Wash  ","1168","72416","16208.00"
"36","New York","Shampoo","1035","67275","16206.00"
"35","Los Angeles","Mouthwash","570","17100","6870.00"
"35","Los Angeles","Body Wash  ","462","16170","6290.00"
"35","Los Angeles","Shampoo","783","29754","12345.00"
"35","New York","Mouthwash","1903","104665","22937.00"
"35","New York","Body Wash  ","1096","65760","14922.00"
"35","New York","Shampoo","947","61555","14930.00"
"34","Los Angeles","Mouthwash","543","16290","6545.00"
"34","Los Angeles","Body Wash  ","446","15610","6072.00"
"34","Los Angeles","Shampoo","762","28956","12014.00"
"34","New York","Mouthwash","1913","105215","23058.00"
"34","New York","Body Wash  ","1183","70980","16107.00"
"34","New York","Shampoo","949","61685","14962.00"
"33","Los Angeles","Mouthwash","562","16860","6774.00"
"33","Los Angeles","Body Wash  ","437","15295","5950.00"
"33","Los Angeles","Shampoo","754","28652","11887.00"
"33","New York","Mouthwash","2229","122595","26867.00"
"33","New York","Body Wash  ","1321","79260","17986.00"
"33","New York","Shampoo","1063","69095","16759.00"
"32","Los Angeles","Mouthwash","503","15090","6063.00"
"32","Los Angeles","Body Wash  ","384","13440","5228.00"
"32","Los Angeles","Shampoo","771","29298","11746.00"
"32","New York","Mouthwash","2143","117865","25830.00"
"32","New York","Body Wash  ","1274","76440","17346.00"
"32","New York","Shampoo","1053","68445","16042.00"
"31","Los Angeles","Mouthwash","677","20310","8160.00"
"31","Los Angeles","Body Wash  ","490","17150","6671.00"
"31","Los Angeles","Shampoo","780","29640","11883.00"
"31","New York","Mouthwash","1691","93005","20382.00"
"31","New York","Body Wash  ","1082","64920","14732.00"
"31","New York","Shampoo","928","60320","14138.00"
"30","Los Angeles","Mouthwash","626","18780","7545.00"
"30","Los Angeles","Body Wash  ","509","17815","6930.00"
"30","Los Angeles","Shampoo","833","31654","12691.00"
"30","New York","Mouthwash","1615","88825","19466.00"
"30","New York","Body Wash  ","1119","67140","15235.00"
"30","New York","Shampoo","868","56420","13224.00"
"29","Los Angeles","Mouthwash","607","18210","7358.00"
"29","Los Angeles","Body Wash  ","503","17605","6862.00"
"29","Los Angeles","Shampoo","784","29792","11978.00"
"29","New York","Mouthwash","522","28710","6328.00"
"29","New York","Body Wash  ","340","20400","4638.00"
"29","New York","Shampoo","706","45890","10786.00"
"28","Los Angeles","Mouthwash","708","21240","8582.00"
"28","Los Angeles","Body Wash  ","455","15925","6207.00"
"28","Los Angeles","Shampoo","818","31084","12497.00"
"28","New York","Mouthwash","566","31130","6861.00"
"28","New York","Body Wash  ","339","20340","4624.00"
"28","New York","Shampoo","621","40365","9487.00"
"27","Los Angeles","Mouthwash","634","19020","7685.00"
"27","Los Angeles","Body Wash  ","460","16100","6275.00"
"27","Los Angeles","Shampoo","803","30514","12268.00"
"27","New York","Mouthwash","502","27610","6085.00"
"27","New York","Body Wash  ","328","19680","4474.00"
"27","New York","Shampoo","574","37310","8769.00"
"26","Los Angeles","Mouthwash","274","13700","3321.00"
"26","Los Angeles","Body Wash  ","237","13035","3233.00"
"26","Los Angeles","Shampoo","682","32736","10419.00"
"26","New York","Mouthwash","590","32450","7152.00"
"26","New York","Body Wash  ","360","21600","4911.00"
"26","New York","Shampoo","876","56940","13383.00"
"25","Los Angeles","Mouthwash","284","14200","3443.00"
"25","Los Angeles","Body Wash  ","231","12705","3151.00"
"25","Los Angeles","Shampoo","638","30624","9747.00"
"25","New York","Mouthwash","609","33495","7382.00"
"25","New York","Body Wash  ","426","25560","5811.00"
"25","New York","Shampoo","927","60255","14162.00"
"24","Los Angeles","Mouthwash","333","16650","4037.00"
"24","Los Angeles","Body Wash  ","252","13860","3438.00"
"24","Los Angeles","Shampoo","698","33504","10664.00"
"24","New York","Mouthwash","597","32835","7237.00"
"24","New York","Body Wash  ","366","21960","4993.00"
"24","New York","Shampoo","858","55770","13108.00"
"23","Los Angeles","Mouthwash","327","16350","3964.00"
"23","Los Angeles","Body Wash  ","268","14740","3656.00"
"23","Los Angeles","Shampoo","713","34224","10893.00"
"23","New York","Mouthwash","633","34815","7673.00"
"23","New York","Body Wash  ","378","22680","5156.00"
"23","New York","Shampoo","851","55315","13001.00"
